group	subset	learningiter	acc	expid
tv	460	49500	0.839067	188
tv	460	49750	0.8392	188
tv	460	50000	0.844534	188
tv	460	50250	0.839733	188
tv	460	50500	0.8412	188
tv	460	50750	0.841733	188
tv	460	51000	0.8448	188
tv	460	51250	0.844667	188
tv	460	51500	0.8376	188
tv	460	51750	0.838267	188
tv	460	52000	0.843734	188
tv	460	52250	0.843734	188
tv	460	52500	0.846533	188
tv	460	52750	0.8424	188
tv	460	53000	0.838667	188
tv	460	53250	0.837067	188
tv	460	53500	0.839867	188
tv	460	53750	0.838	188
tv	460	54000	0.8412	188
tv	460	54250	0.836	188
tv	460	54500	0.845067	188
tv	460	54750	0.844	188
tv	460	55000	0.838267	188
tv	460	55250	0.8396	188
tv	460	55500	0.842267	188
tv	460	55750	0.844267	188
tv	460	56000	0.840133	188
tv	460	56250	0.8392	188
tv	460	56500	0.843067	188
tv	460	56750	0.840134	188
tv	460	57000	0.8408	188
tv	460	57250	0.8436	188
tv	460	57500	0.841867	188
tv	460	57750	0.839333	188
tv	460	58000	0.842667	188
tv	460	58250	0.8432	188
tv	460	58500	0.8456	188
tv	460	58750	0.843333	188
tv	460	59000	0.843067	188
tv	460	59250	0.843467	188
tv	460	59500	0.845733	188
tv	460	59750	0.8412	188
tv	460	60000	0.843867	188
tv	460	60250	0.842267	188
tv	460	60500	0.839467	188
tv	460	60750	0.8424	188
tv	460	61000	0.8424	188
tv	460	61250	0.8436	188
tv	460	61500	0.840133	188
tv	460	61750	0.843333	188
tv	460	62000	0.840133	188
tv	460	62250	0.840933	188
tv	460	62500	0.842	188
tv	460	62750	0.837467	188
tv	460	63000	0.8404	188
tv	460	63250	0.842533	188
tv	460	63500	0.840133	188
tv	460	63750	0.838533	188
tv	460	64000	0.8408	188
tv	460	64250	0.839733	188
tv	460	64500	0.841067	188
tv	460	64750	0.8444	188
tv	460	65000	0.844533	188
tv	460	65250	0.843734	188
tv	460	65500	0.838267	188
tv	460	65750	0.841067	188
tv	460	66000	0.8464	188
tv	460	66250	0.8396	188
tv	460	66500	0.840267	188
tv	460	66750	0.844133	188
tv	460	67000	0.8456	188
tv	460	67250	0.846534	188
tv	460	67500	0.829867	188
tv	460	67750	0.8428	188
tv	460	68000	0.844	188
tv	460	68250	0.844133	188
tv	460	68500	0.843467	188
tv	460	68750	0.8428	188
tv	460	69000	0.8424	188
tv	460	69250	0.842933	188
tv	460	69500	0.843733	188
tv	460	69750	0.841867	188
tv	460	70000	0.839867	188
tv	460	70250	0.8448	188
tv	460	70500	0.844133	188
tv	460	70750	0.844	188
tv	460	71000	0.837067	188
tv	460	71250	0.837467	188
tv	460	71500	0.843067	188
tv	460	71750	0.844533	188
tv	460	72000	0.842533	188
tv	460	72250	0.836533	188
tv	460	72500	0.840134	188
tv	460	72750	0.837867	188
tv	460	73000	0.84	188
tv	460	73250	0.8448	188
tv	460	73500	0.842667	188
tv	460	73750	0.840533	188
tv	460	74000	0.846267	188
tv	460	74250	0.8468	188
tv	460	74500	0.845334	188
tv	460	74750	0.842267	188
tv	460	75000	0.846667	188
tv	57	0	0.471667	277
tv	57	250	0.500833	277
tv	57	500	0.445	277
tv	57	750	0.435833	277
tv	57	1000	0.435833	277
tv	57	1250	0.464167	277
tv	57	1500	0.471667	277
tv	57	1750	0.485	277
tv	57	2000	0.513333	277
tv	57	2250	0.534167	277
tv	57	2500	0.539167	277
tv	57	2750	0.55	277
tv	57	3000	0.549167	277
tv	57	3250	0.565	277
tv	57	3500	0.56	277
tv	57	3750	0.575833	277
tv	57	4000	0.579167	277
tv	57	4250	0.581667	277
tv	57	4500	0.5825	277
tv	57	4750	0.5775	277
tv	57	5000	0.595833	277
tv	57	5250	0.588333	277
tv	57	5500	0.613333	277
tv	57	5750	0.594167	277
tv	57	6000	0.619167	277
tv	57	6250	0.599167	277
tv	57	6500	0.618333	277
tv	57	6750	0.615	277
tv	57	7000	0.620833	277
tv	57	7250	0.63	277
tv	57	7500	0.6325	277
tv	57	7750	0.6375	277
tv	57	8000	0.634167	277
tv	57	8250	0.639167	277
tv	57	8500	0.6475	277
tv	57	8750	0.64	277
tv	57	9000	0.656667	277
tv	57	9250	0.653333	277
tv	57	9500	0.649167	277
tv	57	9750	0.649167	277
tv	57	10000	0.66	277
tv	57	10250	0.6575	277
tv	57	10500	0.663333	277
tv	57	10750	0.66	277
tv	57	11000	0.6575	277
tv	57	11250	0.665833	277
tv	57	11500	0.665833	277
tv	57	11750	0.668333	277
tv	57	12000	0.661667	277
tv	57	12250	0.668333	277
tv	57	12500	0.666667	277
tv	57	12750	0.675833	277
tv	57	13000	0.675833	277
tv	57	13250	0.6775	277
tv	57	13500	0.680833	277
tv	57	13750	0.670833	277
tv	57	14000	0.681667	277
tv	57	14250	0.68	277
tv	57	14500	0.68	277
tv	57	14750	0.675833	277
tv	57	15000	0.678333	277
tv	57	15250	0.673333	277
tv	57	15500	0.683333	277
tv	57	15750	0.681667	277
tv	57	16000	0.680833	277
tv	57	16250	0.678333	277
tv	57	16500	0.6825	277
tv	57	16750	0.6825	277
tv	57	17000	0.678333	277
tv	57	17250	0.68	277
tv	57	17500	0.683333	277
tv	57	17750	0.6825	277
tv	57	18000	0.684167	277
tv	57	18250	0.685833	277
tv	57	18500	0.6875	277
tv	57	18750	0.690833	277
tv	57	19000	0.683333	277
tv	57	19250	0.6925	277
tv	57	19500	0.686667	277
tv	57	19750	0.6925	277
tv	57	20000	0.685	277
tv	57	20250	0.688333	277
tv	57	20500	0.689167	277
tv	57	20750	0.695	277
tv	57	21000	0.6925	277
tv	57	21250	0.685833	277
tv	57	21500	0.689167	277
tv	57	21750	0.689167	277
tv	57	22000	0.689167	277
tv	57	22250	0.686667	277
tv	57	22500	0.69	277
tv	57	22750	0.69	277
tv	57	23000	0.69	277
tv	57	23250	0.685833	277
tv	57	23500	0.699167	277
tv	57	23750	0.691667	277
tv	57	24000	0.693333	277
tv	57	24250	0.6925	277
tv	57	24500	0.691667	277
tv	57	24750	0.691667	277
tv	57	25000	0.691667	277
tv	57	25250	0.690833	277
tv	57	25500	0.693333	277
tv	57	25750	0.689167	277
tv	57	26000	0.69	277
tv	57	26250	0.6925	277
tv	57	26500	0.6975	277
tv	57	26750	0.696667	277
tv	57	27000	0.693333	277
tv	57	27250	0.6925	277
tv	57	27500	0.691667	277
tv	57	27750	0.695	277
tv	57	28000	0.690833	277
tv	57	28250	0.695	277
tv	57	28500	0.693333	277
tv	57	28750	0.698333	277
tv	57	29000	0.7	277
tv	57	29250	0.7	277
tv	57	29500	0.703333	277
tv	57	29750	0.695833	277
tv	57	30000	0.695833	277
tv	57	30250	0.69	277
tv	57	30500	0.6975	277
tv	57	30750	0.700833	277
tv	57	31000	0.700833	277
tv	57	31250	0.699167	277
tv	57	31500	0.695833	277
tv	57	31750	0.698333	277
tv	57	32000	0.7025	277
tv	57	32250	0.694167	277
tv	57	32500	0.695833	277
tv	57	32750	0.695	277
tv	57	33000	0.694167	277
tv	57	33250	0.695833	277
tv	57	33500	0.699167	277
tv	57	33750	0.705	277
tv	57	34000	0.700833	277
tv	57	34250	0.705	277
tv	57	34500	0.703333	277
tv	57	34750	0.695833	277
tv	57	35000	0.7025	277
tv	57	35250	0.6975	277
tv	57	35500	0.699167	277
tv	57	35750	0.698333	277
tv	57	36000	0.7025	277
tv	57	36250	0.701667	277
tv	57	36500	0.708333	277
tv	57	36750	0.704167	277
tv	57	37000	0.706667	277
tv	57	37250	0.701667	277
tv	57	37500	0.700833	277
tv	57	37750	0.7025	277
tv	57	38000	0.7	277
tv	57	38250	0.695	277
tv	57	38500	0.695	277
tv	57	38750	0.696667	277
tv	57	39000	0.700833	277
tv	57	39250	0.704167	277
tv	57	39500	0.7	277
tv	57	39750	0.705	277
tv	57	40000	0.7025	277
tv	57	40250	0.696667	277
tv	57	40500	0.698333	277
tv	57	40750	0.704167	277
tv	57	41000	0.703333	277
tv	57	41250	0.7025	277
tv	57	41500	0.708333	277
tv	57	41750	0.704167	277
tv	57	42000	0.7025	277
tv	57	42250	0.6975	277
tv	57	42500	0.7025	277
tv	57	42750	0.698333	277
tv	57	43000	0.704167	277
tv	57	43250	0.701667	277
tv	57	43500	0.703333	277
tv	57	43750	0.696667	277
tv	57	44000	0.7	277
tv	57	44250	0.708333	277
tv	57	44500	0.705	277
tv	57	44750	0.7075	277
tv	57	45000	0.7	277
tv	57	45250	0.704167	277
tv	57	45500	0.676667	277
tv	57	45750	0.699167	277
tv	57	46000	0.7025	277
tv	57	46250	0.7075	277
tv	57	46500	0.71	277
tv	57	46750	0.704167	277
tv	57	47000	0.705	277
tv	57	47250	0.7025	277
tv	57	47500	0.703333	277
tv	57	47750	0.703333	277
tv	57	48000	0.704167	277
tv	57	48250	0.705	277
tv	57	48500	0.706667	277
tv	57	48750	0.704167	277
tv	57	49000	0.705833	277
tv	57	49250	0.705	277
tv	57	49500	0.704167	277
tv	57	49750	0.704167	277
tv	57	50000	0.7075	277
tv	57	50250	0.703333	277
tv	57	50500	0.7	277
tv	57	50750	0.701667	277
tv	57	51000	0.701667	277
tv	57	51250	0.695	277
tv	57	51500	0.7025	277
tv	57	51750	0.700833	277
tv	57	52000	0.6975	277
tv	57	52250	0.706667	277
tv	57	52500	0.69	277
tv	57	52750	0.699167	277
tv	57	53000	0.699167	277
tv	57	53250	0.704167	277
tv	57	53500	0.7	277
tv	57	53750	0.699167	277
tv	57	54000	0.695	277
tv	57	54250	0.6975	277
tv	57	54500	0.700833	277
tv	57	54750	0.698333	277
tv	57	55000	0.705	277
tv	57	55250	0.701667	277
tv	57	55500	0.7	277
tv	57	55750	0.6925	277
tv	57	56000	0.693333	277
tv	57	56250	0.695833	277
tv	57	56500	0.698333	277
tv	57	56750	0.698333	277
tv	57	57000	0.695	277
tv	57	57250	0.7	277
tv	57	57500	0.698333	277
tv	57	57750	0.7	277
tv	57	58000	0.6975	277
tv	57	58250	0.696667	277
tv	57	58500	0.696667	277
tv	57	58750	0.699167	277
tv	57	59000	0.695833	277
tv	57	59250	0.703333	277
tv	57	59500	0.7	277
tv	57	59750	0.704167	277
tv	57	60000	0.700833	277
tv	57	60250	0.7	277
tv	57	60500	0.696667	277
tv	57	60750	0.694167	277
tv	57	61000	0.6975	277
tv	57	61250	0.701667	277
tv	57	61500	0.696667	277
tv	57	61750	0.705	277
tv	57	62000	0.704167	277
tv	57	62250	0.651667	277
tv	57	62500	0.704167	277
tv	57	62750	0.706667	277
tv	57	63000	0.7075	277
tv	57	63250	0.705833	277
tv	57	63500	0.710833	277
tv	57	63750	0.7075	277
tv	57	64000	0.698333	277
tv	57	64250	0.703333	277
tv	57	64500	0.71	277
tv	57	64750	0.7075	277
tv	57	65000	0.7025	277
tv	57	65250	0.705833	277
tv	57	65500	0.7025	277
tv	57	65750	0.7	277
tv	57	66000	0.696667	277
tv	57	66250	0.7025	277
tv	57	66500	0.7	277
tv	57	66750	0.706667	277
tv	57	67000	0.7025	277
tv	57	67250	0.705	277
tv	57	67500	0.699167	277
tv	57	67750	0.696667	277
tv	57	68000	0.7	277
tv	57	68250	0.698333	277
tv	57	68500	0.699167	277
tv	57	68750	0.699167	277
tv	57	69000	0.703333	277
tv	57	69250	0.700833	277
tv	57	69500	0.700833	277
tv	57	69750	0.7	277
tv	57	70000	0.7	277
tv	57	70250	0.703333	277
tv	57	70500	0.7	277
tv	57	70750	0.7025	277
tv	57	71000	0.701667	277
tv	57	71250	0.699167	277
tv	57	71500	0.699167	277
tv	57	71750	0.7025	277
tv	57	72000	0.704167	277
tv	57	72250	0.700833	277
tv	57	72500	0.7025	277
tv	57	72750	0.701667	277
tv	57	73000	0.699167	277
tv	57	73250	0.7025	277
tv	57	73500	0.7	277
tv	57	73750	0.705	277
tv	57	74000	0.700833	277
tv	57	74250	0.704167	277
tv	57	74500	0.711667	277
tv	57	74750	0.704167	277
tv	57	75000	0.705	277
tv	921	0	0.49531	846
tv	921	250	0.603379	846
tv	921	500	0.629931	846
tv	921	750	0.645793	846
tv	921	1000	0.636138	846
tv	921	1250	0.645931	846
tv	921	1500	0.654069	846
tv	921	1750	0.674207	846
tv	921	2000	0.67531	846
tv	921	2250	0.68731	846
tv	921	2500	0.686	846
tv	921	2750	0.700483	846
tv	921	3000	0.701035	846
tv	921	3250	0.708621	846
tv	921	3500	0.718207	846
tv	921	3750	0.720621	846
tv	921	4000	0.722966	846
tv	921	4250	0.735104	846
tv	921	4500	0.742483	846
tv	921	4750	0.744965	846
tv	921	5000	0.745103	846
tv	921	5250	0.745655	846
tv	921	5500	0.758483	846
tv	921	5750	0.767862	846
tv	921	6000	0.769379	846
tv	921	6250	0.766552	846
tv	921	6500	0.774276	846
tv	921	6750	0.781104	846
tv	921	7000	0.776138	846
tv	921	7250	0.786	846
tv	921	7500	0.787379	846
